infections,diagnosed,susceptible,steps
5.0,13.0,82.0,4173.0
2.0,11.0,87.0,4139.0
3.0,10.0,87.0,4153.0
6.0,8.0,86.0,4310.0
5.0,8.0,87.0,4044.0
3.0,7.0,90.0,4392.0
4.0,8.0,88.0,4258.0
2.0,12.0,86.0,4306.0
5.0,13.0,82.0,4202.0
5.0,8.0,87.0,4135.0
7.0,10.0,83.0,4171.0
2.0,11.0,87.0,4193.0
5.0,9.0,86.0,4017.0
4.0,9.0,87.0,4007.0
2.0,10.0,88.0,3931.0
5.0,15.0,80.0,4136.0
1.0,11.0,88.0,4091.0
4.0,9.0,87.0,4091.0
3.0,11.0,86.0,4132.0
6.0,8.0,86.0,4160.0
6.0,6.0,88.0,4212.0
4.0,14.0,82.0,3961.0
2.0,11.0,87.0,4070.0
4.0,7.0,89.0,4091.0
8.0,7.0,85.0,4150.0
1.0,12.0,87.0,3968.0
4.0,11.0,85.0,4316.0
7.0,10.0,83.0,4103.0
2.0,10.0,88.0,4232.0
7.0,11.0,82.0,4175.0
6.0,9.0,85.0,4381.0
1.0,11.0,88.0,4209.0
6.0,8.0,86.0,4229.0
8.0,8.0,84.0,4503.0
5.0,6.0,89.0,4361.0
3.0,11.0,86.0,4063.0
4.0,15.0,81.0,4092.0
3.0,11.0,86.0,4113.0
1.0,14.0,85.0,4256.0
6.0,10.0,84.0,4263.0
7.0,8.0,85.0,4341.0
4.0,9.0,87.0,4267.0
5.0,8.0,87.0,4182.0
4.0,9.0,87.0,4320.0
6.0,12.0,82.0,4188.0
5.0,9.0,86.0,4137.0
5.0,9.0,86.0,4036.0
3.0,10.0,87.0,4226.0
8.0,12.0,80.0,4076.0
7.0,10.0,83.0,4340.0
3.0,11.0,86.0,4172.0
5.0,9.0,86.0,4139.0
3.0,13.0,84.0,3783.0
9.0,8.0,83.0,4220.0
7.0,9.0,84.0,4119.0
4.0,11.0,85.0,4203.0
10.0,14.0,76.0,4035.0
4.0,9.0,87.0,4164.0
3.0,10.0,87.0,4040.0
9.0,6.0,85.0,4214.0
9.0,11.0,80.0,3978.0
2.0,11.0,87.0,3951.0
5.0,9.0,86.0,4314.0
6.0,8.0,86.0,4266.0
4.0,11.0,85.0,4265.0
7.0,12.0,81.0,4099.0
4.0,13.0,83.0,4023.0
2.0,13.0,85.0,3905.0
5.0,12.0,83.0,4060.0
3.0,10.0,87.0,4312.0
5.0,12.0,83.0,4179.0
5.0,8.0,87.0,4137.0
2.0,11.0,87.0,4003.0
4.0,12.0,84.0,4058.0
4.0,11.0,85.0,4064.0
8.0,8.0,84.0,4170.0
3.0,8.0,89.0,4189.0
5.0,8.0,87.0,4324.0
5.0,10.0,85.0,4322.0
6.0,10.0,84.0,4118.0
1.0,9.0,90.0,4109.0
7.0,8.0,85.0,4212.0
4.0,8.0,88.0,4347.0
5.0,11.0,84.0,4190.0
3.0,10.0,87.0,4008.0
6.0,9.0,85.0,4257.0
6.0,6.0,88.0,4412.0
